025-03-24 22:51:11,250 - __main__ - INFO - Running scheduled news update
2025-03-24 22:51:11,390 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.20.10.10:5000
2025-03-24 22:59:06,784 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:06] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:07,991 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:07] "GET /api/news?category=technology&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:59:08,206 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:08] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:08,733 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:08] "GET /api/news?category=entertainment&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:59:08,942 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:08] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:17,810 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:17] "[33mGET /api/article/11 HTTP/1.1[0m" 404 -
2025-03-24 23:00:54,320 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:00:54] "[33mGET /api HTTP/1.1[0m" 404 -
2025-03-24 23:00:54,364 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:00:54] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-03-24 23:23:00,757 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:23:00] "GET /api/news?category=technology&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 23:23:00,967 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:23:00] "GET /api/status HTTP/1.1" 200 -
2025-03-24 23:47:25,719 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:25] "GET /api/news?category=technology&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 23:47:25,935 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:25] "GET /api/status HTTP/1.1" 200 -
2025-03-24 23:47:27,935 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:27] "GET /api/news?category=technology&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 23:47:28,144 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:28] "GET /api/status HTTP/1.1" 200 -
2025-03-24 23:47:28,368 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:28] "GET /api/news?category=technology&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 23:47:28,576 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:28] "GET /api/status HTTP/1.1" 200 -
2025-03-24 23:47:28,800 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:28] "GET /api/news?category=technology&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 23:47:29,022 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:47:29] "GET /api/status HTTP/1.1" 200 -
2025-03-24 23:54:55,838 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:54:55] "GET /api/news?category=entertainment&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 23:54:56,050 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 23:54:56] "GET /api/status HTTP/1.1" 200 -
2025-03-25 00:34:41,491 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 00:34:41] "GET /api/news?limit=6&offset=0 HTTP/1.1" 200 -
2025-03-25 01:27:45,444 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:27:45,448 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:27:45] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 01:29:00,910 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:29:00,911 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:29:00] "[35m[1mGET /api/status HTTP/1.1[0m" 500 -
2025-03-25 01:46:06,578 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:46:06,580 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:46:06] "[35m[1mGET /api/status HTTP/1.1[0m" 500 -
2025-03-25 01:51:20,212 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:51:20,214 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:51:20] "[35m[1mGET /api/status HTTP/1.1[0m" 500 -
2025-03-25 01:56:33,615 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:56:33,617 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:56:33] "[35m[1mGET /api/status HTTP/1.1[0m" 500 -
2025-03-25 01:57:22,148 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:57:22,149 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:57:22] "[35m[1mGET /api/status HTTP/1.1[0m" 500 -
2025-03-25 01:57:25,846 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:57:25,847 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:57:25] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 01:59:52,091 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:59:52,093 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:59:52] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 01:59:53,715 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:59:53,716 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:59:53] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 01:59:54,083 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 01:59:54,085 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 01:59:54] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 02:00:50,846 - werkzeug - INFO -  * Detected change in 'C:\\xampp\\htdocs\\newsilo\\python\\news_aggregator.py', reloading
2025-03-25 02:00:51,685 - werkzeug - INFO -  * Restarting with stat
2025-03-25 02:00:57,970 - __main__ - INFO - Running scheduled news update
2025-03-25 02:00:58,104 - werkzeug - WARNING -  * Debugger is active!
2025-03-25 02:00:58,112 - werkzeug - INFO -  * Debugger PIN: 783-044-093
2025-03-25 02:01:20,661 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 02:01:20,663 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 02:01:20] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 02:01:21,925 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 02:01:21,927 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 02:01:21] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 02:01:22,350 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 02:01:22,360 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 02:01:22] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 02:01:22,819 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 02:01:22,821 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 02:01:22] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 02:01:23,194 - __main__ - ERROR - Database connection failed: 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO)
2025-03-25 02:01:23,195 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 02:01:23] "[35m[1mGET /api/news?limit=6&offset=0 HTTP/1.1[0m" 500 -
2025-03-25 02:02:34,661 - __main__ - INFO - Scheduled update completed. Added 0 new articles.
2025-03-25 02:03:06,498 - werkzeug - INFO -  * Detected change in 'C:\\xampp\\htdocs\\newsilo\\python\\news_aggregator.py', reloading
2025-03-25 02:03:06,846 - werkzeug - INFO -  * Restarting with stat
2025-03-25 06:57:45,757 - __main__ - INFO - Running scheduled news update
2025-03-25 06:57:45,860 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.20.10.10:5000
2025-03-25 06:57:45,860 - werkzeug - INFO - [33mPress CTRL+C to quit[0m
2025-03-25 06:57:45,864 - werkzeug - INFO -  * Restarting with stat
2025-03-25 06:57:50,079 - __main__ - INFO - Running scheduled news update
2025-03-25 06:57:50,214 - werkzeug - WARNING -  * Debugger is active!
2025-03-25 06:57:50,243 - werkzeug - INFO -  * Debugger PIN: 783-044-093
2025-03-25 06:59:36,636 - __main__ - INFO - Scheduled update completed. Added 0 new articles.
2025-03-25 06:59:36,758 - __main__ - INFO - Scheduled update completed. Added 0 new articles.
2025-03-25 07:02:39,275 - __main__ - ERROR - Database connection failed: 2003 (HY000): Can't connect to MySQL server on 'localhost:3306' (10061)
2025-03-25 07:02:39,290 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 07:02:39] "[35m[1mGET /api/status HTTP/1.1[0m" 500 -
2025-03-25 08:53:19,037 - __main__ - INFO - Running scheduled news update
2025-03-25 08:53:19,520 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.172.185.111:5000
2025-03-25 08:53:19,521 - werkzeug - INFO - [33mPress CTRL+C to quit[0m
2025-03-25 08:53:19,526 - werkzeug - INFO -  * Restarting with stat
2025-03-25 08:53:22,883 - __main__ - INFO - Running scheduled news update
2025-03-25 08:53:22,944 - werkzeug - WARNING -  * Debugger is active!
2025-03-25 08:53:22,968 - werkzeug - INFO -  * Debugger PIN: 783-044-093
2025-03-25 08:53:23,833 - __main__ - INFO - Scheduled update completed. Added 0 new articles.
2025-03-25 08:53:27,350 - __main__ - INFO - Scheduled update completed. Added 0 new articles.
2025-03-25 12:34:25,457 - __main__ - INFO - Running scheduled news update
2025-03-25 12:34:25,603 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.20.10.10:5000
2025-03-25 12:34:25,604 - werkzeug - INFO - [33mPress CTRL+C to quit[0m
2025-03-25 12:34:25,607 - werkzeug - INFO -  * Restarting with stat
2025-03-25 12:34:26,600 - __main__ - INFO - Running scheduled news update
2025-03-25 12:34:26,627 - werkzeug - WARNING -  * Debugger is active!
2025-03-25 12:34:26,630 - werkzeug - INFO -  * Debugger PIN: 783-044-093
2025-03-25 12:35:31,476 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 12:35:31] "GET /api/news?category=politics&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-25 12:35:31,708 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 12:35:31] "GET /api/status HTTP/1.1" 200 -
2025-03-25 12:35:36,006 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 12:35:36] "GET /api/status HTTP/1.1" 200 -
2025-03-25 12:35:36,248 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 12:35:36] "GET /api/news?limit=6&offset=0 HTTP/1.1" 200 -
2025-03-25 12:35:56,944 - werkzeug - INFO - 127.0.0.1 - - [25/Mar/2025 12:35:56] "GET /api/news?limit=6&offset=0 HTTP/1.1" 200 -
